time,pitch_standardized,jitter_standardized,shimmer_standardized,logHNR_standardized,intensity_standardized,vad,task
0.09,,,,,,0.0,1
0.1,,,,,,0.0,1
0.11,,,,,,0.0,1
0.12,,,,,,0.0,1
0.13,,,,,,0.0,1
0.14,,,,,,0.0,1
0.15,,,,,,0.0,1
0.16,,,,,,0.0,1
0.17,,,,,,0.0,1
0.18,,,,,,0.0,1
0.19,,,,,,0.0,1
0.2,,,,,,0.0,1
0.21,,,,,,0.0,1
0.22,,,,,,0.0,1
0.23,,,,,,0.0,1
0.24,,,,,,0.0,1
0.25,,,,,,0.0,1
0.26,,,,,,0.0,1
0.27,,,,,,0.0,1
0.28,,,,,,0.0,1
0.29,,,,,,0.0,1
0.3,,,,,,0.0,1
0.31,,,,,,0.0,1
0.32,,,,,,0.0,1
0.33,,,,,,0.0,1
0.34,,,,,,0.0,1
0.35,,,,,,0.0,1
0.36,,,,,,0.0,1
0.37,,,,,,0.0,1
0.38,,,,,,0.0,1
0.39,,,,,,0.0,1
0.4,,,,,,0.0,1
0.41,,,,,,0.0,1
0.42,,,,,,0.0,1
0.43,,,,,,0.0,1
0.44,,,,,,0.0,1
0.45,,,,,,0.0,1
0.46,,,,,,0.0,1
0.47,,,,,,0.0,1
0.48,,,,,,0.0,1
0.49,,,,,,0.0,1
0.5,,,,,,0.0,1
0.51,,,,,,0.0,1
0.52,,,,,,0.0,1
0.53,,,,,,0.0,1
0.54,,,,,,0.0,1
0.55,,,,,,0.0,1
0.56,,,,,,0.0,1
0.57,,,,,,0.0,1
0.58,,,,,,0.0,1
0.59,,,,,,0.0,1
0.6,,,,,,0.0,1
0.61,,,,,,0.0,1
0.62,,,,,,0.0,1
0.63,,,,,,0.0,1
0.64,,,,,,0.0,1
0.65,,,,,,0.0,1
0.66,,,,,,0.0,1
0.67,,,,,,0.0,1
0.68,,,,,,0.0,1
0.69,,,,,,0.0,1
0.7,,,,,,0.0,1
0.71,,,,,,0.0,1
0.72,,,,,,0.0,1
0.73,,,,,,0.0,1
0.74,,,,,,0.0,1
0.75,,,,,,0.0,1
0.76,,,,,,0.0,1
0.77,,,,,,0.0,1
0.78,,,,,,0.0,1
0.79,,,,,,0.0,1
0.8,,,,,,0.0,1
0.81,,,,,,0.0,1
0.82,,,,,,0.0,1
0.83,,,,,,0.0,1
0.84,,,,,,0.0,1
0.85,,,,,,0.0,1
0.86,,,,,,0.0,1
0.87,,,,,,0.0,1
0.88,,,,,,0.0,1
0.89,,,,,,0.0,1
0.9,,,,,,0.0,1
0.91,,,,,,0.0,1
0.92,,,,,,0.0,1
0.93,,,,,,0.0,1
0.94,,,,,,0.0,1
0.95,,,,,,0.0,1
0.96,,,,,,0.0,1
0.97,,,,,,0.0,1
0.98,,,,,,0.0,1
0.99,,,,,,0.0,1
1.0,,,,,,0.0,1
1.01,,,,,,0.0,1
1.02,,,,,,0.0,1
1.03,,,,,,0.0,1
1.04,,,,,,0.0,1
1.05,,,,,,0.0,1
1.06,,,,,,0.0,1
1.07,,,,,,0.0,1
1.08,,,,,,0.0,1
1.09,,,,,,0.0,1
1.1,,,,,,0.0,1
1.11,,,,,,0.0,1
1.12,,,,,,0.0,1
1.13,,,,,,0.0,1
1.14,,,,,,0.0,1
1.15,,,,,,0.0,1
1.16,,,,,,0.0,1
1.17,,,,,,0.0,1
1.18,,,,,,0.0,1
1.19,,,,,,0.0,1
1.2,,,,,,0.0,1
1.21,,,,,,0.0,1
1.22,,,,,,0.0,1
1.23,,,,,,0.0,1
1.24,,,,,,0.0,1
1.25,,,,,,0.0,1
1.26,,,,,,0.0,1
1.27,,,,,,0.0,1
1.28,,,,,,0.0,1
1.29,,,,,,0.0,1
1.3,,,,,,0.0,1
1.31,,,,,,0.0,1
1.32,,,,,,0.0,1
1.33,,,,,,0.0,1
1.34,,,,,,0.0,1
1.35,,,,,,0.0,1
1.36,,,,,,0.0,1
1.37,,,,,,0.0,1
1.38,,,,,,0.0,1
1.39,,,,,,0.0,1
1.4,,,,,,0.0,1
1.41,,,,,,0.0,1
1.42,,,,,,0.0,1
1.43,,,,,,0.0,1
1.44,,,,,,0.0,1
1.45,,,,,,0.0,1
1.46,,,,,,0.0,1
1.47,,,,,,0.0,1
1.48,,,,,,0.0,1
1.49,,,,,,0.0,1
1.5,,,,,,0.0,1
1.51,,,,,,0.0,1
1.52,,,,,,0.0,1
1.53,,,,,,0.0,1
1.54,,,,,,0.0,1
1.55,,,,,,0.0,1
1.56,,,,,,0.0,1
1.57,,,,,,0.0,1
1.58,,,,,,0.0,1
1.59,,,,,,0.0,1
1.6,,,,,,0.0,1
1.61,,,,,,0.0,1
1.62,,,,,,0.0,1
1.63,,,,,,0.0,1
1.64,,,,,,0.0,1
1.65,,,,,,0.0,1
1.66,,,,,,0.0,1
1.67,,,,,,0.0,1
1.68,,,,,,0.0,1
1.69,,,,,,0.0,1
1.7,,,,,,0.0,1
1.71,,,,,,0.0,1
1.72,,,,,,0.0,1
1.73,,,,,,0.0,1
1.74,,,,,,0.0,1
1.75,,,,,,0.0,1
1.76,,,,,,0.0,1
1.77,,,,,,0.0,1
1.78,,,,,,0.0,1
1.79,,,,,,0.0,1
1.8,,,,,,0.0,1
1.81,,,,,,0.0,1
1.82,,,,,,0.0,1
1.83,,,,,,0.0,1
1.84,,,,,,0.0,1
1.85,,,,,,0.0,1
1.86,,,,,,0.0,1
1.87,,,,,,0.0,1
1.88,,,,,,0.0,1
1.89,,,,,,0.0,1
1.9,,,,,,0.0,1
1.91,,,,,,0.0,1
1.92,,,,,,0.0,1
1.93,,,,,,0.0,1
1.94,,,,,,0.0,1
1.95,,,,,,0.0,1
1.96,,,,,,0.0,1
1.97,,,,,,0.0,1
1.98,,,,,,0.0,1
1.99,,,,,,0.0,1
2.0,,,,,,0.0,1
2.01,,,,,,0.0,1
2.02,,,,,,0.0,1
2.03,,,,,,0.0,1
2.04,,,,,,0.0,1
2.05,,,,,,0.0,1
2.06,,,,,,0.0,1
2.07,,,,,,0.0,1
2.08,,,,,,0.0,1
2.09,,,,,,0.0,1
2.1,,,,,,0.0,1
2.11,,,,,,0.0,1
2.12,,,,,,0.0,1
2.13,,,,,,0.0,1
2.14,,,,,,0.0,1
2.15,,,,,,0.0,1
2.16,,,,,,0.0,1
2.17,,,,,,0.0,1
2.18,,,,,,0.0,1
2.19,,,,,,0.0,1
2.2,,,,,,0.0,1
2.21,,,,,,0.0,1
2.22,,,,,,0.0,1
2.23,,,,,,0.0,1
2.24,,,,,,0.0,1
2.25,,,,,,0.0,1
2.26,,,,,,0.0,1
2.27,,,,,,0.0,1
2.28,,,,,,0.0,1
2.29,,,,,,0.0,1
2.3,,,,,,0.0,1
2.31,,,,,,0.0,1
2.32,,,,,,0.0,1
2.33,,,,,,0.0,1
2.34,,,,,,0.0,1
2.35,,,,,,0.0,1
2.36,,,,,,0.0,1
2.37,,,,,,0.0,1
2.38,,,,,,0.0,1
2.39,,,,,,0.0,1
2.4,,,,,,0.0,1
2.41,,,,,,0.0,1
2.42,,,,,,0.0,1
2.43,,,,,,0.0,1
2.44,,,,,,0.0,1
2.45,,,,,,0.0,1
2.46,,,,,,0.0,1
2.47,,,,,,0.0,1
2.48,,,,,,0.0,1
2.49,,,,,,0.0,1
2.5,,,,,,0.0,1
2.51,,,,,,0.0,1
2.52,,,,,,0.0,1
2.53,,,,,,0.0,1
2.54,,,,,,0.0,1
2.55,,,,,,0.0,1
2.56,,,,,,0.0,1
2.57,,,,,,0.0,1
2.58,,,,,,0.0,1
2.59,,,,,,0.0,1
2.6,,,,,,0.0,1
2.61,,,,,,0.0,1
2.62,,,,,,0.0,1
2.63,,,,,,0.0,1
2.64,,,,,,0.0,1
2.65,,,,,,0.0,1
2.66,,,,,,0.0,1
2.67,,,,,,0.0,1
2.68,,,,,,0.0,1
2.69,,,,,,0.0,1
2.7,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7018080092677443,1.0,1
2.71,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7018736321427321,1.0,1
2.72,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7018613402167952,1.0,1
2.73,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.701950138017004,1.0,1
2.74,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7016945201345117,1.0,1
2.75,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7016610628459333,1.0,1
2.76,0.8087532738528697,-0.7946216253739593,2.4937762464101145,0.4768804611582058,-0.6981541207883888,1.0,1
2.77,0.7717885109396164,2.563800068905605,-0.4026067028803506,0.610229335655587,-0.6957425563792484,1.0,1
2.78,0.708841585163136,2.563800068905605,-0.4026067028803506,0.531527157918782,-0.6957275546901142,1.0,1
2.79,0.6628653943297725,9.627226945261018,2.506497758889454,0.35373233038798774,-0.6094297396440352,1.0,1
2.8,0.6232889837995953,-0.7704847311939538,1.5762261377254776,0.43760996287918985,-0.6050461833563108,1.0,1
2.81,0.5832984405758772,1.2009973443759578,-0.013212069555612419,0.5180057579266218,-0.42135812711144244,1.0,1
2.82,0.548574720046289,2.9283087184917127,-0.5467880428318318,0.477466059109226,-0.30918830216014115,1.0,1
2.83,0.5241583021114943,0.5743488214261481,0.5921762118886312,0.4844033294418516,-0.25381744410505525,1.0,1
2.84,0.5054352759815941,0.5743488214261481,0.5921762118886312,0.6037480703664253,0.15773823183801297,1.0,1
2.85,0.4879148513972009,0.4926901402792611,-0.5593099157341437,0.5833345550703661,-0.025365396921966238,1.0,1
2.86,0.47864847692401036,-0.2329013990298199,0.20397500758113796,0.46861263614502896,-0.08687191639995312,1.0,1
2.87,0.4844326545746356,4.966217805142287,2.0035225336821934,0.49107128951346174,-0.6775252392954672,1.0,1
2.88,0.49205990925777615,-0.036178032169796495,-0.11382033993182021,0.7124078760629783,-0.4732302149241678,1.0,1
2.89,0.49471135340981515,-0.26188478941595367,0.0025336361378746645,0.8126597344150591,-0.38171087832323874,1.0,1
2.9,0.49054266635651533,-0.45931110379714657,-0.2632097852212229,0.7498444322111539,-0.30229002188767384,1.0,1
2.91,0.48646103422378006,-0.45931110379714657,-0.2632097852212229,0.8013723946558194,-0.4867799443482419,1.0,1
2.92,0.47598832727991464,0.37252044415449526,0.54537899463326,0.5045451046098787,-0.5632791200781289,1.0,1
2.93,0.4584194006683502,0.7151590184864633,2.1430498153553423,0.4711439501096569,-0.6455636945330546,1.0,1
2.94,0.44049230524075056,-0.40328968942067356,0.16589611993010994,0.6749215076409607,-0.6632712393817702,1.0,1
2.95,0.4268706974559083,0.846464244081131,-0.1040789362174431,0.6465206144832334,-0.6744714146262365,1.0,1
2.96,0.41617040407685396,0.34507688249953455,-0.21616616738379524,0.6552383698723324,-0.6676855379172367,1.0,1
2.97,0.4062175393729289,1.2311201636510571,-0.4442937452527774,0.6221644374636904,-0.6562446921806255,1.0,1
2.98,0.39671238568904804,-0.41809280671323534,-0.7802374828109703,0.7549036178288027,-0.5786907396799105,1.0,1
2.99,0.38800689363263446,-0.41809280671323534,-0.7802374828109703,0.5705556819407201,-0.576926485825504,1.0,1
3.0,0.39193804511696634,1.4998049221578738,3.135704081006494,0.46988345659475333,-0.49808383535027695,1.0,1
3.01,0.4037837325223004,1.9226874081738567,0.6071970432819342,0.6060515842982394,-0.5355537535316475,1.0,1
3.02,0.41486831119355927,1.9226874081738567,0.6071970432819342,0.7201372830430421,-0.4503367299574241,1.0,1
3.03,0.4174314567833117,-0.3699351798472541,0.630647451137413,0.6051646828371506,-0.5419617208333596,1.0,1
3.04,0.4495323369204746,0.038316773001796374,2.384153965731096,0.5337602057071125,-0.5650696606349627,1.0,1
3.05,0.49119060369385725,2.844387060108901,12.589219023309452,0.36744265254069497,-0.6322856214322103,1.0,1
3.06,0.5170533769517389,2.844387060108901,12.589219023309452,0.4881955418992192,-0.5824023408681775,1.0,1
3.07,0.4995926471700185,2.844387060108901,12.589219023309452,0.34571927693150994,0.17302501497653033,1.0,1
3.08,0.4678039211051639,1.2936544685492495,-0.08084690382989534,0.4181216194497321,0.14530878280540965,1.0,1
3.09,0.4467888632809822,0.5061559057512325,0.6445671159678386,0.5564239803495367,0.34366001838291443,1.0,1
3.1,0.4342168891097988,0.10923180040652997,-0.5239102604823844,0.5533137505681843,-0.1215283454771413,1.0,1
3.11,0.4299860199703821,-0.06188407569934151,0.5996948146972743,0.6448893637593679,0.02846601440564815,1.0,1
3.12,0.43224944790504943,-0.3491258313841947,-0.06963591351301628,0.5211005985502019,-0.2063204176109688,1.0,1
3.13,0.43719541103481474,0.04775483600737246,-0.23317678187999283,0.6216778565936,-0.46736310413687393,1.0,1
3.14,0.44128077409271715,0.04775483600737246,-0.23317678187999283,0.6389015639635105,-0.6044384226170277,1.0,1
3.15,0.4423042912302069,-0.46779329829636157,0.9718188927200799,0.5747052873384579,-0.6280325446218616,1.0,1
3.16,0.43514713311811276,0.2986741722939615,1.615562061956147,0.6032171444232804,0.10987857064210321,1.0,1
3.17,0.4043732186986916,2.064023064344681,2.155165166658376,0.44769330353166387,0.09895040694657528,1.0,1
3.18,0.3656996920589365,3.755333483269111,9.918940490559264,0.33396975621680575,0.08968875928909328,1.0,1
3.19,0.33587467627366474,3.755333483269111,9.918940490559264,0.5252546587041369,-0.6990532752061952,1.0,1
3.2,0.3275808296273472,0.5068016366137021,4.286645135903978,0.40329088561563303,-0.7004847556467634,1.0,1
3.21,0.3287262236536269,0.7496209623274528,6.487833640424673,0.32799339704481856,-0.6998661402247599,1.0,1
3.22,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.6998866306585554,1.0,1
3.23,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7010902535982835,1.0,1
3.24,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7019138765360856,1.0,1
3.25,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7019177386717799,1.0,1
3.26,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7018380630880634,1.0,1
3.27,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.701855733841678,1.0,1
3.28,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7018228912965614,1.0,1
3.29,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7018950713336484,1.0,1
3.3,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7018520128016352,1.0,1
3.31,-1.7622857099114055,-0.7946216253739593,-0.7895988911689225,-1.8097246335535104,-0.7015974141124471,1.0,1
3.32,0.5819565511574671,-0.7946216253739593,1.2002818272917972,0.6159431679453136,-0.6614729650537978,1.0,1
3.33,0.5702004059561421,1.1663882719840257,1.312254753779189,0.5816227137571139,-0.056459927073744705,1.0,1
3.34,0.5494614365943209,0.5167164661855466,-0.5163674112266892,0.5757661267801575,-0.04417774447056923,1.0,1
3.35,0.5314161952030986,0.5167164661855466,-0.5163674112266892,0.6862637218969939,-0.08294504843235033,1.0,1
3.36,0.5197035774620555,-0.1566858904243476,-0.19470459796444264,0.6228587719637072,-0.6785485024713006,1.0,1
3.37,0.5128772280481051,-0.2546006416886988,-0.6382011787968593,0.6736705311052059,-0.6874119827068057,1.0,1
3.38,0.5091761502824069,-0.6992571490334205,-0.0650368033517047,0.614190423870614,-0.6075239232701485,1.0,1
3.39,0.5055708329293296,-0.540846010131336,-0.7650946603001024,0.6836032200026456,0.09456966201660073,1.0,1
3.4,0.5017739947510111,-0.303115113675061,-0.38776614539532545,0.7217525371423811,0.09182224489419477,1.0,1
3.41,0.4961664142249584,-0.4871136124089303,-0.5882234889549764,0.708744649046413,0.06923202118942925,1.0,1
3.42,0.48880529887040003,-0.4660199321827401,-0.5272935845129355,0.6211550302071773,-0.6178153398085818,1.0,1
3.43,0.4781522638767946,0.05552672655787085,-0.49674526544961534,0.7107363300444195,-0.5819890611296317,1.0,1
3.44,0.4658451853924709,-0.3977984081784745,-0.7396859582340044,0.667221056576179,-0.5613932775383644,1.0,1
3.45,0.4514326214722176,-0.3977984081784745,-0.7396859582340044,0.7606050982945278,-0.5842509354550819,1.0,1
