time,pitch_standardized_A,jitter_standardized_A,shimmer_standardized_A,logHNR_standardized_A,intensity_standardized_A,vad_A,pitch_standardized_B,jitter_standardized_B,shimmer_standardized_B,logHNR_standardized_B,intensity_standardized_B,vad_B
282.33,,,,,,0.0,,,,,,0.0
282.34,,,,,,0.0,,,,,,0.0
282.35,,,,,,0.0,,,,,,0.0
282.36,,,,,,0.0,,,,,,0.0
282.37,,,,,,0.0,,,,,,0.0
282.38,,,,,,0.0,,,,,,0.0
282.39,,,,,,0.0,,,,,,0.0
282.4,,,,,,0.0,,,,,,0.0
282.41,,,,,,0.0,,,,,,0.0
282.42,,,,,,0.0,,,,,,0.0
282.43,,,,,,0.0,,,,,,0.0
282.44,,,,,,0.0,,,,,,0.0
282.45,,,,,,0.0,,,,,,0.0
282.46,,,,,,0.0,,,,,,0.0
282.47,,,,,,0.0,,,,,,0.0
282.48,,,,,,0.0,,,,,,0.0
282.49,,,,,,0.0,,,,,,0.0
282.5,,,,,,0.0,,,,,,0.0
282.51,,,,,,0.0,,,,,,0.0
282.52,,,,,,0.0,,,,,,0.0
282.53,,,,,,0.0,,,,,,0.0
282.54,,,,,,0.0,,,,,,0.0
282.55,,,,,,0.0,,,,,,0.0
282.56,,,,,,0.0,,,,,,0.0
282.57,,,,,,0.0,,,,,,0.0
282.58,,,,,,0.0,,,,,,0.0
282.59,,,,,,0.0,,,,,,0.0
282.6,,,,,,0.0,,,,,,0.0
282.61,,,,,,0.0,,,,,,0.0
282.62,,,,,,0.0,,,,,,0.0
282.63,,,,,,0.0,,,,,,0.0
282.64,,,,,,0.0,,,,,,0.0
282.65,,,,,,0.0,,,,,,0.0
282.66,,,,,,0.0,,,,,,0.0
282.67,,,,,,0.0,,,,,,0.0
282.68,,,,,,0.0,,,,,,0.0
282.69,,,,,,0.0,,,,,,0.0
282.7,,,,,,0.0,,,,,,0.0
282.71,,,,,,0.0,,,,,,0.0
282.72,,,,,,0.0,,,,,,0.0
282.73,,,,,,0.0,,,,,,0.0
282.74,,,,,,0.0,,,,,,0.0
282.75,,,,,,0.0,,,,,,0.0
282.76,,,,,,0.0,,,,,,0.0
282.77,,,,,,0.0,,,,,,0.0
282.78,,,,,,0.0,,,,,,0.0
282.79,,,,,,0.0,,,,,,0.0
282.8,,,,,,0.0,,,,,,0.0
282.81,,,,,,0.0,,,,,,0.0
282.82,,,,,,0.0,,,,,,0.0
282.83,,,,,,0.0,,,,,,0.0
282.84,,,,,,0.0,,,,,,0.0
282.85,,,,,,0.0,,,,,,0.0
282.86,,,,,,0.0,,,,,,0.0
282.87,,,,,,0.0,,,,,,0.0
282.88,,,,,,0.0,,,,,,0.0
282.89,,,,,,0.0,,,,,,0.0
282.9,,,,,,0.0,,,,,,0.0
282.91,,,,,,0.0,,,,,,0.0
282.92,,,,,,0.0,,,,,,0.0
282.93,,,,,,0.0,,,,,,0.0
282.94,,,,,,0.0,,,,,,0.0
282.95,,,,,,0.0,,,,,,0.0
282.96,,,,,,0.0,,,,,,0.0
282.97,,,,,,0.0,,,,,,0.0
282.98,,,,,,0.0,,,,,,0.0
282.99,,,,,,0.0,,,,,,0.0
283.0,,,,,,0.0,,,,,,0.0
283.01,,,,,,0.0,,,,,,0.0
283.02,,,,,,0.0,,,,,,0.0
283.03,,,,,,0.0,,,,,,0.0
283.04,,,,,,0.0,,,,,,0.0
283.05,,,,,,0.0,,,,,,0.0
283.06,,,,,,0.0,,,,,,0.0
283.07,,,,,,0.0,,,,,,0.0
283.08,,,,,,0.0,,,,,,0.0
283.09,,,,,,0.0,,,,,,0.0
283.1,,,,,,0.0,,,,,,0.0
283.11,,,,,,0.0,,,,,,0.0
283.12,,,,,,0.0,,,,,,0.0
283.13,,,,,,0.0,,,,,,0.0
283.14,,,,,,0.0,,,,,,0.0
283.15,,,,,,0.0,,,,,,0.0
283.16,,,,,,0.0,,,,,,0.0
283.17,,,,,,0.0,,,,,,0.0
283.18,,,,,,0.0,,,,,,0.0
283.19,,,,,,0.0,,,,,,0.0
283.2,,,,,,0.0,,,,,,0.0
283.21,,,,,,0.0,,,,,,0.0
283.22,,,,,,0.0,,,,,,0.0
283.23,,,,,,0.0,,,,,,0.0
283.24,,,,,,0.0,,,,,,0.0
283.25,,,,,,0.0,,,,,,0.0
283.26,,,,,,0.0,,,,,,0.0
283.27,,,,,,0.0,,,,,,0.0
283.28,,,,,,0.0,,,,,,0.0
283.29,,,,,,0.0,,,,,,0.0
283.3,,,,,,0.0,,,,,,0.0
283.31,,,,,,0.0,,,,,,0.0
283.32,,,,,,0.0,,,,,,0.0
283.33,,,,,,0.0,,,,,,0.0
283.34,,,,,,0.0,,,,,,0.0
283.35,,,,,,0.0,,,,,,0.0
283.36,,,,,,0.0,,,,,,0.0
283.37,,,,,,0.0,,,,,,0.0
283.38,,,,,,0.0,,,,,,0.0
283.39,,,,,,0.0,,,,,,0.0
283.4,,,,,,0.0,,,,,,0.0
283.41,,,,,,0.0,,,,,,0.0
283.42,,,,,,0.0,,,,,,0.0
283.43,,,,,,0.0,,,,,,0.0
283.44,,,,,,0.0,,,,,,0.0
283.45,,,,,,0.0,,,,,,0.0
283.46,,,,,,0.0,,,,,,0.0
283.47,,,,,,0.0,,,,,,0.0
283.48,,,,,,0.0,,,,,,0.0
283.49,,,,,,0.0,,,,,,0.0
283.5,,,,,,0.0,,,,,,0.0
283.51,,,,,,0.0,,,,,,0.0
283.52,,,,,,0.0,,,,,,0.0
283.53,,,,,,0.0,,,,,,0.0
283.54,,,,,,0.0,,,,,,0.0
283.55,,,,,,0.0,,,,,,0.0
283.56,,,,,,0.0,,,,,,0.0
283.57,,,,,,0.0,,,,,,0.0
283.58,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697811842103802,1.0,,,,,,0.0
283.59,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697827454793296,1.0,,,,,,0.0
283.6,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697753060426687,1.0,,,,,,0.0
283.61,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697282833381797,1.0,,,,,,0.0
283.62,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697275489372009,1.0,,,,,,0.0
283.63,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697135882834087,1.0,,,,,,0.0
283.64,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697486726775753,1.0,,,,,,0.0
283.65,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697306758619379,1.0,,,,,,0.0
283.66,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697035063003131,1.0,,,,,,0.0
283.67,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7695551758825128,1.0,,,,,,0.0
283.68,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7694622051930716,1.0,,,,,,0.0
283.69,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.76906531259864,1.0,,,,,,0.0
283.7,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.763905671344682,1.0,,,,,,0.0
283.71,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7607434423616896,1.0,,,,,,0.0
283.72,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7600421458359352,1.0,,,,,,0.0
283.73,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7582768060589737,1.0,,,,,,0.0
283.74,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7573561835682683,1.0,,,,,,0.0
283.75,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7574035097899993,1.0,,,,,,0.0
283.76,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7192101413876557,1.0,,,,,,0.0
283.77,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7233345260029802,1.0,,,,,,0.0
283.78,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7032627104986496,1.0,,,,,,0.0
283.79,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7484993679969052,1.0,,,,,,0.0
283.8,0.8084184350738803,-0.7534956604231224,1.8816119147379504,0.6646720956949743,-0.1734296995636177,1.0,,,,,,0.0
283.81,0.7995777776981289,0.1129039322716204,-0.3787771170889335,0.6911521060737333,0.9274182141330616,1.0,,,,,,0.0
283.82,0.7898444269765287,0.1129039322716204,-0.3787771170889335,0.6922044924762059,0.9595761427779276,1.0,,,,,,0.0
283.83,0.7918657523434597,0.1129039322716204,-0.3787771170889335,0.8060734583362481,0.6292948867375905,1.0,,,,,,0.0
283.84,0.797417354156992,0.1129039322716204,-0.3787771170889335,0.7045488335547041,0.7633587592255011,1.0,,,,,,0.0
283.85,0.7923147401209579,-0.3162652578377305,-0.2863591436391649,0.69418358460287,0.7500030444969472,1.0,,,,,,0.0
283.86,0.7732248362635787,-0.3162652578377305,-0.2863591436391649,0.7579449511236063,0.6423574019779794,1.0,,,,,,0.0
283.87,0.7435000846568391,0.689550134717661,0.3441124615315112,0.6680577136052307,0.1627579326877626,1.0,,,,,,0.0
283.88,0.7077800256682161,0.1468778577727758,-0.2325331716055584,0.8546240557786583,0.1625252852678056,1.0,,,,,,0.0
283.89,0.6722712550454749,0.1663477785115737,0.4711157449164309,0.6885743272220656,0.1449078203702465,1.0,,,,,,0.0
283.9,0.6387732453713708,0.1663477785115737,0.4711157449164309,0.6723520558173341,-0.6314080968148938,1.0,,,,,,0.0
283.91,0.6089798250457197,1.6861403964181183,-0.325079877046419,0.6795813447123044,0.2456808031476103,1.0,,,,,,0.0
283.92,0.5833170922730487,1.6861403964181183,-0.325079877046419,0.710519233607436,0.1931152340411813,1.0,,,,,,0.0
283.93,0.5598323904053377,2.0242537636971267,0.2454738118554176,0.7298479376807606,0.3566321105480889,1.0,,,,,,0.0
283.94,0.5353634368998964,2.0242537636971267,0.2454738118554176,0.724316852167622,-0.5376361282289799,1.0,,,,,,0.0
283.95,0.5076476855054117,2.0242537636971267,0.2454738118554176,0.6682161393999915,-0.5396080541344367,1.0,,,,,,0.0
283.96,0.4788297131355793,2.0242537636971267,0.2454738118554176,0.7000771377348458,-0.5860057577036929,1.0,,,,,,0.0
283.97,0.4650255398979984,2.729850853323595,0.8644163443050706,0.5400534570011878,-0.4686547340838242,1.0,,,,,,0.0
283.98,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.5336455079127533,1.0,,,,,,0.0
283.99,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.6497870836439419,1.0,,,,,,0.0
284.0,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7678057519776584,1.0,,,,,,0.0
284.01,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7678718541209604,1.0,,,,,,0.0
284.02,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7688191274890548,1.0,,,,,,0.0
284.03,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7694397110558175,1.0,,,,,,0.0
284.04,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7694413642069533,1.0,,,,,,0.0
284.05,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7695609473710245,1.0,,,,,,0.0
284.06,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7696842921729855,1.0,,,,,,0.0
284.07,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7696530678616238,1.0,,,,,,0.0
284.08,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7697007371586254,1.0,,,,,,0.0
284.09,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7696324970492732,1.0,,,,,,0.0
284.1,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7694872025209557,1.0,,,,,,0.0
284.11,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7680514483683143,1.0,,,,,,0.0
284.12,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7677258742388393,1.0,,,,,,0.0
284.13,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7674966384498833,1.0,,,,,,0.0
284.14,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7689378151199067,1.0,,,,,,0.0
284.15,1.0655211616238234,-0.7534956604231224,-0.7853362308394696,0.498046166655215,-0.6291226546089129,1.0,,,,,,0.0
284.16,1.0564797803004846,-0.7534956604231224,0.1354534633682856,0.7022508077790893,-0.3482226459512315,1.0,,,,,,0.0
284.17,1.0458871902243003,-0.6105138542897814,2.9504705542526226,0.6202295907848056,-0.2962402888701739,1.0,,,,,,0.0
284.18,1.0684158122363978,-0.3814692960037082,1.2652880581390162,0.642550214258109,-0.4099118182611214,1.0,,,,,,0.0
284.19,1.1407380591411982,-0.3881502010759082,-0.1153395008006681,0.7046073204968559,-0.6497855698422367,1.0,,,,,,0.0
284.2,1.2295672096304775,-0.1651346653170757,0.675350443258102,0.5676011853109444,-0.6150256550874553,1.0,,,,,,0.0
284.21,1.3087915431540684,-0.1651346653170757,0.675350443258102,0.6985935757523675,0.008761355104852,1.0,,,,,,0.0
284.22,1.3475770441843529,-0.1651346653170757,0.675350443258102,0.7700653761743843,0.0989209147795169,1.0,,,,,,0.0
284.23,1.3683519727596356,8.641097501499699,-0.4713136942431517,0.7778308900114774,0.5301568098018417,1.0,,,,,,0.0
284.24,1.3761291453604512,8.641097501499699,-0.4713136942431517,0.8640342072868096,-0.0615856475259413,1.0,,,,,,0.0
284.25,1.3764654460094792,-0.5252974802291377,-0.6406729292553827,0.8853561993465439,-0.0679456862059004,1.0,,,,,,0.0
284.26,1.3726147155412916,-0.6268613238278088,-0.6607594060392089,0.8227234983146462,-0.2788881376398944,1.0,,,,,,0.0
284.27,1.366151052281705,-0.5883949075934215,-0.7114491467746715,0.8598114122078239,-0.3200642610852753,1.0,,,,,,0.0
284.28,1.3526197931833872,-0.5883949075934215,-0.7114491467746715,0.7520956890740368,-0.3481865537316286,1.0,,,,,,0.0
284.29,1.3296298582391153,-0.2589735904420064,-0.3618691902270046,0.6848241596335426,-0.1287538259233645,1.0,,,,,,0.0
284.3,1.297100253575301,-0.1419430230660646,-0.7443916632951088,0.7294076767505175,-0.1281263949534464,1.0,,,,,,0.0
284.31,1.256096224703262,-0.1419430230660646,-0.7443916632951088,0.7775984564679099,-0.1611637627152592,1.0,,,,,,0.0
284.32,1.206498041549,-0.1419430230660646,-0.7443916632951088,0.6561657472572916,1.6393296767918286,1.0,,,,,,0.0
284.33,1.1456452314387922,-0.1419430230660646,-0.7443916632951088,0.7203155125006672,1.633852901569966,1.0,,,,,,0.0
284.34,1.0807673779585445,-0.1419430230660646,-0.7443916632951088,0.6053197739330858,2.7548979576174117,1.0,,,,,,0.0
284.35,1.0165973405039996,7.5343372228154255,-0.1157849986261689,0.6434737022540916,0.5195538239635314,1.0,,,,,,0.0
284.36,0.96026434068727,0.4666821677879986,1.0051496211344264,0.5523625923475168,3.76181431615894,1.0,,,,,,0.0
284.37,0.9151525138352212,0.4666821677879986,1.0051496211344264,0.6261074338319964,2.631076148771782,1.0,,,,,,0.0
284.38,0.8811791053378846,1.6713003522287833,0.5927271101385436,0.6891612787030128,2.581205943438348,1.0,,,,,,0.0
284.39,0.8574426181674981,0.4557651293332987,-0.1733557945557144,0.6702522042437677,-0.485336988222666,1.0,,,,,,0.0
284.4,0.8369740577227435,-0.1443690410402692,-0.7334866691753704,0.7418932193139518,-0.3186577799535974,1.0,,,,,,0.0
284.41,0.8083656129824103,-0.1443690410402692,-0.7334866691753704,0.86714972530564,0.5185674626419334,1.0,,,,,,0.0
284.42,0.7633383014767146,1.10416508386749,1.919026392741866,0.5492995043706802,4.381941591218267,1.0,,,,,,0.0
284.43,0.7120727009683724,1.10416508386749,1.919026392741866,0.5389458013847724,4.720920036423842,1.0,,,,,,0.0
284.44,0.6701020278224266,1.10416508386749,1.919026392741866,0.6450259721977386,4.066306765044601,1.0,,,,,,0.0
284.45,0.6439586140173754,3.793964673820584,0.4362750260137769,0.6294716633135694,2.20577037274514,1.0,,,,,,0.0
284.46,0.6247718696589676,3.793964673820584,0.4362750260137769,0.5743273729365311,2.601738671725024,1.0,,,,,,0.0
284.47,0.6053280577887371,3.793964673820584,0.4362750260137769,0.6688297790972605,2.6290524349132527,1.0,,,,,,0.0
284.48,0.5959098788795766,3.793964673820584,0.4362750260137769,0.5490954625466037,1.6026972690014898,1.0,,,,,,0.0
284.49,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,0.7784688904566066,1.0,,,,,,0.0
284.5,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,0.7952840404504101,1.0,,,,,,0.0
284.51,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.1872558879273926,1.0,,,,,,0.0
284.52,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.3099342984429528,1.0,,,,,,0.0
284.53,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.5773043458284346,1.0,,,,,,0.0
284.54,2.921592615390361,-0.7534956604231224,9.588047608923722,0.4701760409067296,-0.7224366663094944,1.0,,,,,,0.0
284.55,2.913061847617901,-0.2572352652749288,8.049192433174836,0.4246896860377487,-0.7312734598614619,1.0,,,,,,0.0
284.56,2.911989559161053,-0.2572352652749288,8.049192433174836,0.3914914566426735,-0.7324182046783109,1.0,,,,,,0.0
284.57,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7694659485059934,1.0,,,,,,0.0
284.58,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.769633141052388,1.0,,,,,,0.0
284.59,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7693430141833159,1.0,,,,,,0.0
284.6,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7550274466335187,1.0,,,,,,0.0
284.61,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7546676478377025,1.0,,,,,,0.0
284.62,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7526850297117806,1.0,,,,,,0.0
284.63,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.6843018421962551,1.0,,,,,,0.0
284.64,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.676966596523052,1.0,,,,,,0.0
284.65,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.6629350888437877,1.0,,,,,,0.0
284.66,0.4594123123110842,-0.7534956604231224,3.100711209717129,0.5187437680198996,-0.7013385808901902,1.0,,,,,,0.0
284.67,0.4897586038607916,-0.7534956604231224,3.100711209717129,0.5561070815921415,-0.3268679233386317,1.0,,,,,,0.0
284.68,0.5410946338244277,-0.7534956604231224,3.100711209717129,0.6308698608594442,-0.1140131419821013,1.0,,,,,,0.0
284.69,0.5688209496372065,-0.7534956604231224,3.100711209717129,0.6472049420296204,-0.1509461589215831,1.0,,,,,,0.0
284.7,0.584044276398957,-0.7534956604231224,3.100711209717129,0.6621119197093911,-0.380086897065289,1.0,,,,,,0.0
284.71,0.5932652528332951,-0.7534956604231224,3.100711209717129,0.6718894600677582,-0.4607697393703118,1.0,,,,,,0.0
284.72,0.5954450444746374,3.527875757057013,0.5151878833399224,0.736015565544891,-0.1948417872934671,1.0,,,,,,0.0
284.73,0.5911928661112756,3.527875757057013,0.5151878833399224,0.7439733859620045,-0.068313141651394,1.0,,,,,,0.0
284.74,0.5840178653532219,-0.3590862698384713,-0.4230622431054404,0.6855373596271608,0.0053332316327676,1.0,,,,,,0.0
284.75,0.5773323493094599,-0.3590862698384713,-0.4230622431054404,0.8131320183580112,0.0389496683837061,1.0,,,,,,0.0
284.76,0.5712630909995183,-0.3590862698384713,-0.4230622431054404,0.7334822670537596,0.2410589275203156,1.0,,,,,,0.0
284.77,0.5650406486243127,-0.0026724159982335,-0.5434495535114574,0.7865806501242644,0.0211422612090314,1.0,,,,,,0.0
284.78,0.5584678197090207,-0.4933357180846697,-0.5564321087590401,0.6965614857493199,0.6659400423317625,1.0,,,,,,0.0
284.79,0.5522700276431683,-0.4933357180846697,-0.5564321087590401,0.7735232983302781,0.255628870563987,1.0,,,,,,0.0
284.8,0.5469966221780463,-0.2901744269446299,-0.1698380497820323,0.7475327611955467,0.4978538748883724,1.0,,,,,,0.0
284.81,0.5418781615145709,-0.2901744269446299,-0.1698380497820323,0.7477583807264365,0.0331374665734812,1.0,,,,,,0.0
284.82,0.5359268725422467,-0.2901744269446299,-0.1698380497820323,0.7314524483882712,0.0043663903857892,1.0,,,,,,0.0
284.83,0.528676160119752,-0.2819524925810397,-0.6434534962269405,0.7776961239829595,0.4469710158879332,1.0,,,,,,0.0
284.84,0.5208743372095835,-0.2819524925810397,-0.6434534962269405,0.8057214010145575,-0.0118442746849961,1.0,,,,,,0.0
284.85,0.5134810051401191,-0.14575740999602,-0.6953508663397269,0.9024834094905236,0.7679423914412958,1.0,,,,,,0.0
284.86,0.5080438511914391,-0.4498662178766159,-0.6621147029000428,0.7557271792750866,0.4512853507477505,1.0,,,,,,0.0
284.87,0.5033057095865502,-0.3456760055241714,-0.3431697309234821,0.7540751597569607,0.4781322256205865,1.0,,,,,,0.0
284.88,0.4985429176723084,-0.4726906776527457,-0.5688046182198745,0.8028969927595765,-0.0395368069946207,1.0,,,,,,0.0
284.89,0.4913520702868134,-0.4022826955828855,-0.2281332383866507,0.6718069348031038,-0.06384870140144,1.0,,,,,,0.0
284.9,0.4829762473160006,-0.6739573598346311,-0.6468733635870991,0.7721444071536573,-0.0987116343459489,1.0,,,,,,0.0
284.91,0.4741690439315134,-0.6739573598346311,-0.6468733635870991,0.7486716477034022,0.3774907045702532,1.0,,,,,,0.0
284.92,0.4669465032911364,-0.1468693101504851,-0.4384959905072362,0.8505453013565576,0.4472618251628792,1.0,,,,,,0.0
284.93,0.461690705189838,-0.1468693101504851,-0.4384959905072362,0.7562741930706164,0.6407479917440311,1.0,,,,,,0.0
284.94,0.4591746128994678,-0.2423933541998886,-0.3373687180523817,0.7563476329850334,-0.0830770106608788,1.0,,,,,,0.0
284.95,0.4606729995608429,-0.2423933541998886,-0.3373687180523817,0.7762123727223512,-0.4853816852098563,1.0,,,,,,0.0
284.96,0.4633422759164772,-0.6516183497428217,-0.5340830901687218,0.7679197192933721,-0.5301360375174581,1.0,,,,,,0.0
284.97,0.4636416011014757,-0.6516183497428217,-0.5340830901687218,0.6723590591081421,-0.5645649077414447,1.0,,,,,,0.0
284.98,0.4578575820854739,-0.6516183497428217,-0.5340830901687218,0.6352111440477731,0.0420354336490934,1.0,,,,,,0.0
284.99,0.4454901697358863,-0.6516183497428217,-0.5340830901687218,0.6537371195720175,0.5669047445644194,1.0,,,,,,0.0
285.0,0.4565863304174213,-0.6516183497428217,-0.5340830901687218,0.5377700056415784,0.5893902770508029,1.0,,,,,,0.0
285.01,0.4825994497301789,-0.6516183497428217,-0.5340830901687218,0.4324307262126406,-0.0014855686376406,1.0,,,,,,0.0
285.02,0.5137222260245002,2.738954466890794,4.455118542767671,0.5846560912092866,-0.6356256280393523,1.0,,,,,,0.0
285.03,0.5240172516520685,-0.1668806277438573,0.5081877694024249,0.6611746144099228,-0.6740714905987457,1.0,,,,,,0.0
285.04,0.5276989514275506,-0.6870130686100937,-0.6971067736339567,0.7559866795912358,-0.5163224376099685,1.0,,,,,,0.0
285.05,0.5407143147658413,-0.5406535485991412,-0.068939177530301,0.7858263767764492,-0.536874287602395,1.0,,,,,,0.0
285.06,0.5676571028884767,-0.5406535485991412,-0.068939177530301,0.6974054769307272,-0.5037707109344232,1.0,,,,,,0.0
285.07,0.6375301654854356,-0.5406535485991412,-0.068939177530301,0.6665932687138765,-0.6876537975404357,1.0,,,,,,0.0
285.08,0.7213095240301515,-0.5406535485991412,-0.068939177530301,0.699523499204768,-0.6438546541088146,1.0,,,,,,0.0
285.09,0.8046927168888398,8.834591719023264,4.205898105190015,0.5080539070752165,0.5960996055557933,1.0,,,,,,0.0
285.1,0.858233188803171,5.615055672895084,3.78703180208815,0.3822599269057475,0.7585727556238532,1.0,,,,,,0.0
285.11,0.9199540419498752,5.615055672895084,3.78703180208815,0.6037069349878577,2.182364608169544,1.0,,,,,,0.0
285.12,1.0078341555290709,5.615055672895084,3.78703180208815,0.5469588910158286,1.811242575598414,1.0,,,,,,0.0
285.13,1.1331052669237347,5.615055672895084,3.78703180208815,0.5511018107239792,2.0614660300904277,1.0,,,,,,0.0
285.14,1.2870077126317023,4.790459045482534,0.896266136126208,0.5001292103308428,3.6272222065496886,1.0,,,,,,0.0
285.15,1.4457909195915288,4.790459045482534,0.896266136126208,0.474043788069572,4.626925698334812,1.0,,,,,,0.0
285.16,1.57134550954375,7.726735069279258,0.6313010567828651,0.5849400084041984,10.57873906592833,1.0,,,,,,0.0
285.17,1.649867309250785,2.78648622553542,2.6267382200750697,0.532035256860623,7.973868765395697,1.0,,,,,,0.0
285.18,1.6894856385899184,2.78648622553542,2.6267382200750697,0.4433649262952647,8.951728895312536,1.0,,,,,,0.0
285.19,1.7041895481188776,0.5912764225994845,5.030039725013808,0.3830371786185377,2.7030303307708534,1.0,,,,,,0.0
285.2,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,2.2898899432898343,1.0,,,,,,0.0
285.21,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.5912723535098545,1.0,,,,,,0.0
285.22,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7095771678125274,1.0,,,,,,0.0
285.23,-1.5587701401779104,-0.7534956604231224,-0.7853362308394696,-1.5821090868539809,-0.7638994846761342,1.0,,,,,,0.0
