time,pitch_standardized_A,jitter_standardized_A,shimmer_standardized_A,logHNR_standardized_A,intensity_standardized_A,vad_A,pitch_standardized_B,jitter_standardized_B,shimmer_standardized_B,logHNR_standardized_B,intensity_standardized_B,vad_B
2589.39,,,,,,0.0,,,,,,0.0
2589.4,,,,,,0.0,,,,,,0.0
2589.41,,,,,,0.0,,,,,,0.0
2589.42,,,,,,0.0,,,,,,0.0
2589.43,,,,,,0.0,,,,,,0.0
2589.44,,,,,,0.0,,,,,,0.0
2589.45,,,,,,0.0,,,,,,0.0
2589.46,,,,,,0.0,,,,,,0.0
2589.47,,,,,,0.0,,,,,,0.0
2589.48,,,,,,0.0,,,,,,0.0
2589.49,,,,,,0.0,,,,,,0.0
2589.5,,,,,,0.0,,,,,,0.0
2589.51,,,,,,0.0,,,,,,0.0
2589.52,,,,,,0.0,,,,,,0.0
2589.53,,,,,,0.0,,,,,,0.0
2589.54,,,,,,0.0,,,,,,0.0
2589.55,,,,,,0.0,,,,,,0.0
2589.56,,,,,,0.0,,,,,,0.0
2589.57,,,,,,0.0,,,,,,0.0
2589.58,,,,,,0.0,,,,,,0.0
2589.59,,,,,,0.0,,,,,,0.0
2589.6,,,,,,0.0,,,,,,0.0
2589.61,,,,,,0.0,,,,,,0.0
2589.62,,,,,,0.0,,,,,,0.0
2589.63,,,,,,0.0,,,,,,0.0
2589.64,,,,,,0.0,,,,,,0.0
2589.65,,,,,,0.0,,,,,,0.0
2589.66,,,,,,0.0,,,,,,0.0
2589.67,,,,,,0.0,,,,,,0.0
2589.68,,,,,,0.0,,,,,,0.0
2589.69,,,,,,0.0,,,,,,0.0
2589.7,,,,,,0.0,,,,,,0.0
2589.71,,,,,,0.0,,,,,,0.0
2589.72,,,,,,0.0,,,,,,0.0
2589.73,,,,,,0.0,,,,,,0.0
2589.74,,,,,,0.0,,,,,,0.0
2589.75,,,,,,0.0,,,,,,0.0
2589.76,,,,,,0.0,,,,,,0.0
2589.77,,,,,,0.0,,,,,,0.0
2589.78,,,,,,0.0,,,,,,0.0
2589.79,,,,,,0.0,,,,,,0.0
2589.8,,,,,,0.0,,,,,,0.0
2589.81,,,,,,0.0,,,,,,0.0
2589.82,,,,,,0.0,,,,,,0.0
2589.83,,,,,,0.0,,,,,,0.0
2589.84,,,,,,0.0,,,,,,0.0
2589.85,,,,,,0.0,,,,,,0.0
2589.86,,,,,,0.0,,,,,,0.0
2589.87,,,,,,0.0,,,,,,0.0
2589.88,,,,,,0.0,,,,,,0.0
2589.89,,,,,,0.0,,,,,,0.0
2589.9,,,,,,0.0,,,,,,0.0
2589.91,,,,,,0.0,,,,,,0.0
2589.92,,,,,,0.0,,,,,,0.0
2589.93,,,,,,0.0,,,,,,0.0
2589.94,,,,,,0.0,,,,,,0.0
2589.95,,,,,,0.0,,,,,,0.0
2589.96,,,,,,0.0,,,,,,0.0
2589.97,,,,,,0.0,,,,,,0.0
2589.98,,,,,,0.0,,,,,,0.0
2589.99,,,,,,0.0,,,,,,0.0
2590.0,,,,,,0.0,,,,,,0.0
2590.01,,,,,,0.0,,,,,,0.0
2590.02,,,,,,0.0,,,,,,0.0
2590.03,,,,,,0.0,,,,,,0.0
2590.04,,,,,,0.0,,,,,,0.0
2590.05,,,,,,0.0,,,,,,0.0
2590.06,,,,,,0.0,,,,,,0.0
2590.07,,,,,,0.0,,,,,,0.0
2590.08,,,,,,0.0,,,,,,0.0
2590.09,,,,,,0.0,,,,,,0.0
2590.1,,,,,,0.0,,,,,,0.0
2590.11,,,,,,0.0,,,,,,0.0
2590.12,,,,,,0.0,,,,,,0.0
2590.13,,,,,,0.0,,,,,,0.0
2590.14,,,,,,0.0,-1.6650711412621055,-0.760634090258045,-0.754382840280247,-1.7145525409882334,-0.679014128024941,1.0
2590.15,,,,,,0.0,-1.6650711412621055,-0.760634090258045,-0.754382840280247,-1.7145525409882334,-0.6789600794890945,1.0
2590.16,,,,,,0.0,-1.6650711412621055,-0.760634090258045,-0.754382840280247,-1.7145525409882334,-0.6789701794071513,1.0
2590.17,,,,,,0.0,-1.6650711412621055,-0.760634090258045,-0.754382840280247,-1.7145525409882334,-0.6789827708143343,1.0
2590.18,,,,,,0.0,-1.6650711412621055,-0.760634090258045,-0.754382840280247,-1.7145525409882334,-0.6780786216981634,1.0
2590.19,,,,,,0.0,-1.6650711412621055,-0.760634090258045,-0.754382840280247,-1.7145525409882334,-0.6265492616171595,1.0
2590.2,,,,,,0.0,-1.6650711412621055,-0.760634090258045,-0.754382840280247,-1.7145525409882334,-0.6257718248798835,1.0
2590.21,,,,,,0.0,0.5436194028688864,-0.760634090258045,-0.754382840280247,0.6053284988506233,-0.4394378160030865,1.0
2590.22,,,,,,0.0,0.5453532723734902,-0.760634090258045,-0.754382840280247,0.3624409002854044,-0.3040230798784314,1.0
2590.23,,,,,,0.0,0.5476113892905968,-0.760634090258045,1.4424221935603765,0.4489170067172676,-0.2965790645136791,1.0
2590.24,,,,,,0.0,0.5409444567173398,0.1769911320945809,0.9182826494686308,0.4336138824343149,-0.3415744190843193,1.0
2590.25,,,,,,0.0,0.5306346468010771,-0.6252845046091869,-0.7040364422391133,0.4908973062616576,-0.525413547691196,1.0
2590.26,,,,,,0.0,0.5163153366297245,0.5452886183670397,-0.72914664552848,0.5141241004409522,1.2984874273407938,1.0
2590.27,,,,,,0.0,0.4988108439610259,-0.4377436727117176,-0.5039380064949194,0.5692830099594348,1.2191733582599245,1.0
2590.28,,,,,,0.0,0.4805415805680743,0.2295743039771191,0.3556000239927874,0.5433917596475625,1.579211528283297,1.0
2590.29,,,,,,0.0,0.4626295993760715,-0.2801050002574732,1.1757375578588956,0.5589733825199955,3.740106259497198,1.0
2590.3,,,,,,0.0,0.4426077850562447,-0.3030738296341518,2.4494517389677606,0.4701151786485309,3.68193562930299,1.0
2590.31,,,,,,0.0,0.4280129239063825,-0.3030738296341518,2.4494517389677606,0.4567513427898431,3.555631462162545,1.0
2590.32,,,,,,0.0,0.4206115779200644,0.4913320507419524,-0.3267679940750593,0.581899837014008,-0.434224672414083,1.0
2590.33,,,,,,0.0,0.4204796403752695,-0.1830506339019863,-0.2694621808345313,0.8000210903259737,-0.4321636992080748,1.0
2590.34,,,,,,0.0,0.4233005351383149,-0.4819776141741569,-0.7347358057548095,0.8719247743111684,-0.2799441396488185,1.0
2590.35,,,,,,0.0,0.4210949597213479,-0.5991555402056008,-0.7477305530793412,0.8392773581608695,-0.2342698735798045,1.0
2590.36,,,,,,0.0,0.4165413630425907,3.313330200935429,6.605746632785217,0.4617456471039857,-0.1874076830837838,1.0
2590.37,,,,,,0.0,0.4074610242295927,4.382935000493077,-0.0392588138123987,0.5252471068313521,-0.576446651347096,1.0
2590.38,,,,,,0.0,0.4020387414151958,0.0070300969065029,-0.236540949832366,0.6058622172421738,-0.6052652382073513,1.0
2590.39,,,,,,0.0,0.4042758417322466,-0.2743900621052978,-0.5714059695065955,0.7137517160696126,-0.6552838437056919,1.0
2590.4,,,,,,0.0,0.4108283505940889,-0.2743900621052978,-0.5714059695065955,0.73634513816506,-0.5913979189387607,1.0
2590.41,,,,,,0.0,0.4212187241438989,-0.0182464568436891,0.0362449623361457,0.6604369906907898,-0.6100864429792752,1.0
2590.42,,,,,,0.0,0.429429209232365,-0.7598643748093936,0.2757471578114182,0.6580626331525862,-0.5601757281935743,1.0
2590.43,,,,,,0.0,0.4365129710400623,0.1988732786502056,-0.2086934849411483,0.6346668609733098,0.9858524376329636,1.0
2590.44,,,,,,0.0,0.4415674633534825,-0.6034398945931496,-0.6823357601652271,0.6156877561921552,1.017651805568856,1.0
2590.45,,,,,,0.0,0.4458139841536463,-0.6034398945931496,-0.6823357601652271,0.6771689637938668,1.225126067022902,1.0
2590.46,,,,,,0.0,0.4521189641703866,-0.601803632671902,0.1703351376309961,0.5773102527347864,-0.3276612852382486,1.0
2590.47,,,,,,0.0,0.4637154570456211,-0.2990545494570419,0.30186576528643,0.5301098525161385,-0.1297304756614415,1.0
2590.48,,,,,,0.0,0.4815667236152408,-0.5106741882871055,-0.1545816800384258,0.6136391441224478,-0.224837942532,1.0
2590.49,,,,,,0.0,0.5015079743015204,-0.2333919911584628,0.2350176454238899,0.5477930654093222,-0.2195664212026904,1.0
2590.5,,,,,,0.0,0.5157490560171096,-0.2094250210335215,1.5664174007498382,0.474810521885783,-0.4483533373325505,1.0
2590.51,,,,,,0.0,0.5215041016657233,0.4565765271316691,-0.0876488079206202,0.4470671505887973,-0.5892151376757864,1.0
2590.52,,,,,,0.0,0.5192401468041568,-0.1423261380877908,-0.3655495334595982,0.5410674258995632,-0.3169251294698842,1.0
2590.53,,,,,,0.0,0.5137197865228329,-0.3032220989655219,0.6661065958348943,0.5182386556572884,-0.2432182821742751,1.0
2590.54,,,,,,0.0,0.5072490088834298,-0.38454070631964,0.4354927562175742,0.5291083919917717,-0.0957266367992176,1.0
