time,pitch_standardized_A,jitter_standardized_A,shimmer_standardized_A,logHNR_standardized_A,intensity_standardized_A,vad_A,pitch_standardized_B,jitter_standardized_B,shimmer_standardized_B,logHNR_standardized_B,intensity_standardized_B,vad_B
805.03,,,,,,0.0,,,,,,0.0
805.04,,,,,,0.0,,,,,,0.0
805.05,,,,,,0.0,,,,,,0.0
805.06,,,,,,0.0,,,,,,0.0
805.07,,,,,,0.0,,,,,,0.0
805.08,,,,,,0.0,,,,,,0.0
805.09,,,,,,0.0,,,,,,0.0
805.1,,,,,,0.0,,,,,,0.0
805.11,,,,,,0.0,,,,,,0.0
805.12,,,,,,0.0,,,,,,0.0
805.13,,,,,,0.0,,,,,,0.0
805.14,,,,,,0.0,,,,,,0.0
805.15,,,,,,0.0,,,,,,0.0
805.16,,,,,,0.0,,,,,,0.0
805.17,,,,,,0.0,,,,,,0.0
805.18,,,,,,0.0,,,,,,0.0
805.19,,,,,,0.0,,,,,,0.0
805.2,,,,,,0.0,,,,,,0.0
805.21,,,,,,0.0,,,,,,0.0
805.22,,,,,,0.0,,,,,,0.0
805.23,,,,,,0.0,,,,,,0.0
805.24,,,,,,0.0,,,,,,0.0
805.25,,,,,,0.0,,,,,,0.0
805.26,,,,,,0.0,,,,,,0.0
805.27,,,,,,0.0,,,,,,0.0
805.28,,,,,,0.0,,,,,,0.0
805.29,,,,,,0.0,,,,,,0.0
805.3,,,,,,0.0,,,,,,0.0
805.31,,,,,,0.0,,,,,,0.0
805.32,,,,,,0.0,,,,,,0.0
805.33,,,,,,0.0,,,,,,0.0
805.34,,,,,,0.0,,,,,,0.0
805.35,,,,,,0.0,,,,,,0.0
805.36,,,,,,0.0,,,,,,0.0
805.37,,,,,,0.0,,,,,,0.0
805.38,,,,,,0.0,,,,,,0.0
805.39,,,,,,0.0,,,,,,0.0
805.4,,,,,,0.0,,,,,,0.0
805.41,,,,,,0.0,,,,,,0.0
805.42,,,,,,0.0,,,,,,0.0
805.43,,,,,,0.0,,,,,,0.0
805.44,,,,,,0.0,,,,,,0.0
805.45,,,,,,0.0,,,,,,0.0
805.46,,,,,,0.0,,,,,,0.0
805.47,,,,,,0.0,,,,,,0.0
805.48,,,,,,0.0,,,,,,0.0
805.49,,,,,,0.0,,,,,,0.0
805.5,,,,,,0.0,,,,,,0.0
805.51,,,,,,0.0,,,,,,0.0
805.52,,,,,,0.0,,,,,,0.0
805.53,,,,,,0.0,,,,,,0.0
805.54,,,,,,0.0,,,,,,0.0
805.55,,,,,,0.0,,,,,,0.0
805.56,,,,,,0.0,,,,,,0.0
805.57,,,,,,0.0,,,,,,0.0
805.58,,,,,,0.0,,,,,,0.0
805.59,,,,,,0.0,,,,,,0.0
805.6,,,,,,0.0,,,,,,0.0
805.61,,,,,,0.0,,,,,,0.0
805.62,,,,,,0.0,,,,,,0.0
805.63,,,,,,0.0,,,,,,0.0
805.64,,,,,,0.0,,,,,,0.0
805.65,,,,,,0.0,,,,,,0.0
805.66,,,,,,0.0,,,,,,0.0
805.67,,,,,,0.0,,,,,,0.0
805.68,,,,,,0.0,,,,,,0.0
805.69,,,,,,0.0,,,,,,0.0
805.7,,,,,,0.0,,,,,,0.0
805.71,,,,,,0.0,,,,,,0.0
805.72,,,,,,0.0,,,,,,0.0
805.73,,,,,,0.0,,,,,,0.0
805.74,,,,,,0.0,,,,,,0.0
805.75,,,,,,0.0,,,,,,0.0
805.76,,,,,,0.0,,,,,,0.0
805.77,,,,,,0.0,,,,,,0.0
805.78,,,,,,0.0,,,,,,0.0
805.79,,,,,,0.0,,,,,,0.0
805.8,,,,,,0.0,,,,,,0.0
805.81,,,,,,0.0,,,,,,0.0
805.82,,,,,,0.0,,,,,,0.0
805.83,,,,,,0.0,,,,,,0.0
805.84,,,,,,0.0,,,,,,0.0
805.85,,,,,,0.0,,,,,,0.0
805.86,,,,,,0.0,,,,,,0.0
805.87,,,,,,0.0,,,,,,0.0
805.88,,,,,,0.0,,,,,,0.0
805.89,,,,,,0.0,,,,,,0.0
805.9,,,,,,0.0,,,,,,0.0
805.91,,,,,,0.0,,,,,,0.0
805.92,,,,,,0.0,,,,,,0.0
805.93,,,,,,0.0,,,,,,0.0
805.94,,,,,,0.0,,,,,,0.0
805.95,,,,,,0.0,,,,,,0.0
805.96,,,,,,0.0,,,,,,0.0
805.97,,,,,,0.0,,,,,,0.0
805.98,,,,,,0.0,,,,,,0.0
805.99,,,,,,0.0,,,,,,0.0
806.0,,,,,,0.0,,,,,,0.0
806.01,,,,,,0.0,,,,,,0.0
806.02,,,,,,0.0,,,,,,0.0
806.03,,,,,,0.0,,,,,,0.0
806.04,,,,,,0.0,,,,,,0.0
806.05,,,,,,0.0,,,,,,0.0
806.06,,,,,,0.0,,,,,,0.0
806.07,,,,,,0.0,,,,,,0.0
806.08,,,,,,0.0,,,,,,0.0
806.09,,,,,,0.0,,,,,,0.0
806.1,,,,,,0.0,,,,,,0.0
806.11,,,,,,0.0,,,,,,0.0
806.12,,,,,,0.0,,,,,,0.0
806.13,,,,,,0.0,,,,,,0.0
806.14,,,,,,0.0,,,,,,0.0
806.15,,,,,,0.0,,,,,,0.0
806.16,,,,,,0.0,,,,,,0.0
806.17,,,,,,0.0,,,,,,0.0
806.18,,,,,,0.0,,,,,,0.0
806.19,,,,,,0.0,,,,,,0.0
806.2,,,,,,0.0,,,,,,0.0
806.21,,,,,,0.0,,,,,,0.0
806.22,,,,,,0.0,,,,,,0.0
806.23,,,,,,0.0,,,,,,0.0
806.24,,,,,,0.0,,,,,,0.0
806.25,,,,,,0.0,,,,,,0.0
806.26,,,,,,0.0,,,,,,0.0
806.27,,,,,,0.0,,,,,,0.0
806.28,,,,,,0.0,,,,,,0.0
806.29,,,,,,0.0,,,,,,0.0
806.3,,,,,,0.0,,,,,,0.0
806.31,,,,,,0.0,,,,,,0.0
806.32,,,,,,0.0,,,,,,0.0
806.33,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.6236531407970863,1.0
806.34,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.6227850484243291,1.0
806.35,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.6184643644420796,1.0
806.36,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.6153786632593642,1.0
806.37,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.5950151416552606,1.0
806.38,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.5974516579436977,1.0
806.39,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.5373673248857611,1.0
806.4,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.5525821060746242,1.0
806.41,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.506985269232958,1.0
806.42,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.5673758579419526,1.0
806.43,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.5711852263885147,1.0
806.44,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.5033187986157467,1.0
806.45,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.4126467103401605,1.0
806.46,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.4146614975353375,1.0
806.47,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.5292453188321194,1.0
806.48,,,,,,0.0,-1.0468968422820182,-0.5943480613858189,-0.6524150868784723,-1.0772595993531158,-0.6199316146952315,1.0
806.49,,,,,,0.0,0.5372039454463461,-0.5943480613858189,-0.391970338987285,1.0463778326816873,-0.5718674149610169,1.0
806.5,,,,,,0.0,0.5375828242412732,-0.5943480613858189,-0.391970338987285,1.0582213600580082,-0.5470122563639375,1.0
806.51,,,,,,0.0,0.5322486096284841,-0.5943480613858189,-0.391970338987285,1.0072859295752292,-0.5325372782863129,1.0
806.52,,,,,,0.0,0.5288087889903302,1.0802937356769051,0.5625583292802453,0.993391465985752,-0.5806826171074786,1.0
806.53,,,,,,0.0,0.5245115058162889,1.0802937356769051,0.5625583292802453,0.9850674250014536,-0.5539582571565982,1.0
806.54,,,,,,0.0,0.5261452425748654,0.2150960277441071,-0.605527979769884,1.035904952138975,-0.4866758944099285,1.0
806.55,,,,,,0.0,0.526804719575058,2.514336601100977,0.9923679945165084,1.0184080273364946,-0.4784452460190244,1.0
806.56,,,,,,0.0,0.5288116377030742,2.545749594707032,-0.3701486571830527,0.9766095480611382,-0.530029818473891,1.0
806.57,,,,,,0.0,0.5315720403518285,1.991703637994132,0.8922988638641988,1.0305730387472434,-0.6047683489236049,1.0
806.58,,,,,,0.0,0.5362111690551274,0.4549916248903291,2.157878047529956,1.0226987629536592,-0.6122973706385195,1.0
806.59,,,,,,0.0,0.5331673194883635,1.0431056310064803,1.1873094420285228,0.9529007948720478,-0.5019500229056102,1.0
806.6,,,,,,0.0,0.5271180779768774,1.0431056310064803,1.1873094420285228,1.0379916473753992,-0.4527235256609937,1.0
806.61,,,,,,0.0,0.5193040589205994,1.7327481684554211,-0.2858041687990157,1.0444784383486905,-0.4415358418927259,1.0
806.62,,,,,,0.0,0.5150039270338141,1.7327481684554211,-0.2858041687990157,1.092234093160492,-0.5478516269949818,1.0
806.63,,,,,,0.0,0.5139499033186035,0.182980793762022,0.2375118950383145,1.021579297220384,-0.4729628122365919,1.0
806.64,,,,,,0.0,0.516100681440182,0.182980793762022,0.2375118950383145,1.0911955191982987,-0.3563972818430245,1.0
806.65,,,,,,0.0,0.5176048017689152,0.182980793762022,0.2375118950383145,0.9403769781161792,-0.3528653229019453,1.0
806.66,,,,,,0.0,0.5170079964490865,0.920051271268462,1.2015748424304245,0.9493217679704092,-0.4596434905024691,1.0
806.67,,,,,,0.0,0.5217624980185097,0.920051271268462,1.2015748424304245,1.026488004307615,-0.5873962381498207,1.0
806.68,,,,,,0.0,0.5357795890744398,0.5028756291338717,0.5086944109590947,1.0600941955047911,-0.5934929937548655,1.0
806.69,,,,,,0.0,0.5554869838361358,0.5028756291338717,0.5086944109590947,1.0560081195402136,-0.6059521405334686,1.0
806.7,,,,,,0.0,0.5740178602346371,0.5028756291338717,0.5086944109590947,1.101487868749756,-0.5348387497392081,1.0
806.71,,,,,,0.0,0.5896031676560362,0.5028756291338717,0.5086944109590947,1.0536336162427302,-0.5295896065210863,1.0
806.72,,,,,,0.0,0.6003656044021604,4.568513700849223,0.1583002050795939,1.0047775903217286,-0.3698853263154169,1.0
806.73,,,,,,0.0,0.6108146827464651,4.568513700849223,0.1583002050795939,1.0552262814780844,-0.3813179301876246,1.0
806.74,,,,,,0.0,0.6279083835657128,4.568513700849223,0.1583002050795939,1.087605209109707,-0.3731780299712868,1.0
806.75,,,,,,0.0,0.654667766724717,0.7326865730690777,0.2603291314942972,1.0994704349224766,-0.5050941083759601,1.0
